Name,Location,Description,Address,Telephone Number,Price,Cuisine Type,Dining Atmosphere,Sky-High Rooftop,Michelin-Guide,Customer Ratings,Operation Hours,Reservations,Dress Code,restaurant_metadata,simple_cuisine_group,dining_format,predicted_occasion,occasion_confidence,predicted_vibe,vibe_confidence,emotion_anger,emotion_disgust,emotion_fear,emotion_joy,emotion_neutral,emotion_sadness,emotion_surprise,dominant_emotion,overall_sentiment,sentiment_score,dining_mood
Redbird,Downtown Los Angeles,A Michelin Selected contemporary American restaurant inside a stunning 1920s cathedral rectory offering seasonal California-inspired cuisine in a dramatic historic setting.,"114 E 2nd St, Los Angeles, CA 90012",(213) 788-1191,$$$,Contemporary,Fine-Dining,No,Michelin-Selected,4.5,Daily (dinner only),Yes,No,"Redbird is a Contemporary restaurant located in Downtown Los Angeles, Los Angeles. A Michelin Selected contemporary American restaurant inside a stunning 1920s cathedral rectory offering seasonal California-inspired cuisine in a dramatic historic setting. Price range: $$$. Atmosphere: Fine-Dining. Michelin Guide: Michelin-Selected. Customer Rating: 4.5/5 Cuisine Group: Contemporary American. Dining Format: Full Service. Best For: Special Occasion. Vibe: Theatrical & Experiential Dining Mood: Dramatic & Exciting. Dominant Emotion: neutral. Overall Sentiment: Positive.",Contemporary American,Full Service,Special Occasion,0.4607,Theatrical & Experiential,0.3562,0.0097,0.0283,0.0128,0.7876,0.9576,0.0102,0.0943,neutral,Positive,0.6823,Dramatic & Exciting
Sushi Takeda,Little Tokyo,A Michelin Selected traditional Japanese sushi restaurant offering an intimate omakase experience with exceptional seasonal fish and skilled traditional technique.,"123 Astronaut Ellison S Onizuka St ste 307 3rd floor, Los Angeles, CA 90012",(213) 613-0083,$$$$,Japanese,Fine-Dining,No,Michelin-Selected,4.6,Tue-Sat (dinner only),Reservation Only,No,"Sushi Takeda is a Japanese restaurant located in Little Tokyo, Los Angeles. A Michelin Selected traditional Japanese sushi restaurant offering an intimate omakase experience with exceptional seasonal fish and skilled traditional technique. Price range: $$$$. Atmosphere: Fine-Dining. Michelin Guide: Michelin-Selected. Customer Rating: 4.6/5 Cuisine Group: Japanese. Dining Format: Tasting Menu / Omakase. Best For: Special Occasion. Vibe: Intimate Dining Mood: Intimate & Personal. Dominant Emotion: neutral. Overall Sentiment: Positive.",Japanese,Tasting Menu / Omakase,Special Occasion,0.5466,Intimate,0.6361,0.0097,0.0369,0.0092,0.6815,0.914,0.0102,0.0802,neutral,Positive,0.5712,Intimate & Personal
Baroo,Downtown Los Angeles,A Michelin Selected Korean contemporary restaurant offering fermentation-driven dishes that blur the line between Korean tradition and California innovation.,"905 E 2nd St #109, Los Angeles, CA 90012",(213) 221-7967,$$$$,Korean Contemporary,Trendy,No,Michelin-Selected,4.5,Wed-Sat (dinner only),Reservation Only,No,"Baroo is a Korean Contemporary restaurant located in Downtown Los Angeles, Los Angeles. A Michelin Selected Korean contemporary restaurant offering fermentation-driven dishes that blur the line between Korean tradition and California innovation. Price range: $$$$. Atmosphere: Trendy. Michelin Guide: Michelin-Selected. Customer Rating: 4.5/5 Cuisine Group: Asian Fusion. Dining Format: Full Service. Best For: Special Occasion. Vibe: Hip & Trendy Dining Mood: Lively & Energetic. Dominant Emotion: neutral. Overall Sentiment: Neutral.",Asian Fusion,Full Service,Special Occasion,0.3555,Hip & Trendy,0.3998,0.0259,0.0264,0.007,0.5822,0.9576,0.0103,0.1194,neutral,Neutral,0.8504,Lively & Energetic
Damian,Downtown Los Angeles,A Michelin Selected upscale Mexican restaurant from Chef Enrique Olvera offering refined contemporary Mexican cuisine in a sleek and minimalist Arts District setting.,"2132 E 7th Pl, Los Angeles, CA 90021",(213) 270-0178,$$$,Mexican,Fine-Dining,No,Michelin-Selected,4.6,Tue-Sun (dinner only),Yes,No,"Damian is a Mexican restaurant located in Downtown Los Angeles, Los Angeles. A Michelin Selected upscale Mexican restaurant from Chef Enrique Olvera offering refined contemporary Mexican cuisine in a sleek and minimalist Arts District setting. Price range: $$$. Atmosphere: Fine-Dining. Michelin Guide: Michelin-Selected. Customer Rating: 4.6/5 Cuisine Group: Mexican / Latin. Dining Format: Full Service. Best For: Special Occasion. Vibe: Refined & Elegant Dining Mood: Intimate & Personal. Dominant Emotion: neutral. Overall Sentiment: Positive.",Mexican / Latin,Full Service,Special Occasion,0.44,Refined & Elegant,0.7491,0.012,0.4099,0.0055,0.696,0.9576,0.0377,0.0585,neutral,Positive,0.7365,Intimate & Personal
Majordomo,Chinatown,A Michelin Selected Asian-influenced restaurant from Chef David Chang offering bold shareable plates and wood-fired meats in a lively industrial Chinatown space.,"1725 Naud St, Los Angeles, CA 90012",(323) 545-4880,$$$,Asian,Trendy,No,Michelin-Selected,4.2,Daily (dinner only),Yes,No,"Majordomo is a Asian restaurant located in Chinatown, Los Angeles. A Michelin Selected Asian-influenced restaurant from Chef David Chang offering bold shareable plates and wood-fired meats in a lively industrial Chinatown space. Price range: $$$. Atmosphere: Trendy. Michelin Guide: Michelin-Selected. Customer Rating: 4.2/5 Cuisine Group: Asian Fusion. Dining Format: Full Service. Best For: Special Occasion. Vibe: Hip & Trendy Dining Mood: Dramatic & Exciting. Dominant Emotion: neutral. Overall Sentiment: Positive.",Asian Fusion,Full Service,Special Occasion,0.352,Hip & Trendy,0.3273,0.0259,0.0302,0.0067,0.9572,0.9576,0.011,0.1118,neutral,Positive,0.5803,Dramatic & Exciting
Girl & the Goat Los Angeles,Downtown Los Angeles,A Michelin Selected contemporary American restaurant from James Beard Award winner Stephanie Izard offering bold globally-inspired small plates in a vibrant communal setting.,"555-3 Mateo St, Los Angeles, CA 90013",(213) 799-4628,$$$,Contemporary,Trendy,No,Michelin-Selected,4.4,Daily (dinner only),Yes,No,"Girl & the Goat Los Angeles is a Contemporary restaurant located in Downtown Los Angeles, Los Angeles. A Michelin Selected contemporary American restaurant from James Beard Award winner Stephanie Izard offering bold globally-inspired small plates in a vibrant communal setting. Price range: $$$. Atmosphere: Trendy. Michelin Guide: Michelin-Selected. Customer Rating: 4.4/5 Cuisine Group: Contemporary American. Dining Format: Full Service. Best For: Special Occasion. Vibe: Lively & Social Dining Mood: Dramatic & Exciting. Dominant Emotion: neutral. Overall Sentiment: Positive.",Contemporary American,Full Service,Special Occasion,0.3525,Lively & Social,0.4856,0.0097,0.0211,0.0036,0.8765,0.9576,0.0182,0.0873,neutral,Positive,0.7913,Dramatic & Exciting
Parks BBQ,Koreatown,A Michelin Selected premier Korean barbecue institution in Koreatown celebrated for its premium USDA prime beef and exceptional tableside grilling experience.,"955 S Vermont Ave Suite G, Los Angeles, CA 90006",(213) 380-1717,$$$,Korean,Casual,No,Michelin-Selected,4.5,Daily (lunch & dinner),Yes,No,"Parks BBQ is a Korean restaurant located in Koreatown, Los Angeles. A Michelin Selected premier Korean barbecue institution in Koreatown celebrated for its premium USDA prime beef and exceptional tableside grilling experience. Price range: $$$. Atmosphere: Casual. Michelin Guide: Michelin-Selected. Customer Rating: 4.5/5 Cuisine Group: Asian Fusion. Dining Format: A La Carte / Casual. Best For: Special Occasion. Vibe: Refined & Elegant Dining Mood: Elegant & Refined. Dominant Emotion: neutral. Overall Sentiment: Positive.",Asian Fusion,A La Carte / Casual,Special Occasion,0.3338,Refined & Elegant,0.3158,0.012,0.4099,0.0084,0.8603,0.9052,0.0377,0.1194,neutral,Positive,0.9148,Elegant & Refined
Quarters BBQ,Koreatown,A Michelin Selected Korean barbecue restaurant offering high-quality cuts and a lively grilling experience in the heart of Koreatown.,"3465 W 6th St, Los Angeles, CA 90020",(213) 468-0065,$$$,Korean,Casual,No,Michelin-Selected,4.3,Daily (lunch & dinner),Yes,No,"Quarters BBQ is a Korean restaurant located in Koreatown, Los Angeles. A Michelin Selected Korean barbecue restaurant offering high-quality cuts and a lively grilling experience in the heart of Koreatown. Price range: $$$. Atmosphere: Casual. Michelin Guide: Michelin-Selected. Customer Rating: 4.3/5 Cuisine Group: Asian Fusion. Dining Format: A La Carte / Casual. Best For: Special Occasion. Vibe: Refined & Elegant Dining Mood: Elegant & Refined. Dominant Emotion: joy. Overall Sentiment: Positive.",Asian Fusion,A La Carte / Casual,Special Occasion,0.3047,Refined & Elegant,0.3073,0.012,0.4099,0.0084,0.9533,0.9052,0.0377,0.1139,joy,Positive,0.8605,Elegant & Refined
Fleming's Steakhouse,Downtown Los Angeles,An upscale steakhouse across from Crypto.com Arena offering seven different prime steak cuts handcrafted cocktails and innovative plant-based options.,"800 W Olympic Blvd, Los Angeles, CA 90015",(213) 745-9911,$$$$,Steakhouse,Fine-Dining,No,No,4.6,Daily (dinner only),Yes,Yes,"Fleming's Steakhouse is a Steakhouse restaurant located in Downtown Los Angeles, Los Angeles. An upscale steakhouse across from Crypto.com Arena offering seven different prime steak cuts handcrafted cocktails and innovative plant-based options. Price range: $$$$. Atmosphere: Fine-Dining. Michelin Guide: No. Customer Rating: 4.6/5 Cuisine Group: Steakhouse. Dining Format: Full Service. Best For: Special Occasion. Vibe: Refined & Elegant Dining Mood: Dramatic & Exciting. Dominant Emotion: neutral. Overall Sentiment: Positive.",Steakhouse,Full Service,Special Occasion,0.3786,Refined & Elegant,0.5945,0.012,0.4099,0.0147,0.759,0.9576,0.0377,0.1045,neutral,Positive,0.6215,Dramatic & Exciting
Aperture at City Club LA,Downtown Los Angeles,A contemporary American restaurant on the 51st floor of City National Plaza offering breathtaking Hollywood Hills and LA skyline views with locally-sourced globally-inspired dishes.,"555 S Flower St 51st Floor, Los Angeles, CA 90071",(213) 620-9662,$$$$,Contemporary American,Fine-Dining,Yes,No,4.2,Mon-Fri (lunch & dinner),Yes,Yes,"Aperture at City Club LA is a Contemporary American restaurant located in Downtown Los Angeles, Los Angeles. A contemporary American restaurant on the 51st floor of City National Plaza offering breathtaking Hollywood Hills and LA skyline views with locally-sourced globally-inspired dishes. Price range: $$$$. Atmosphere: Fine-Dining. Michelin Guide: No. Customer Rating: 4.2/5. Rooftop/top-floor dining Cuisine Group: Contemporary American. Dining Format: Full Service. Best For: Special Occasion. Vibe: Hip & Trendy Dining Mood: Elegant & Refined. Dominant Emotion: neutral. Overall Sentiment: Positive.",Contemporary American,Full Service,Special Occasion,0.3518,Hip & Trendy,0.3554,0.0259,0.0264,0.0169,0.7426,0.9576,0.0107,0.2043,neutral,Positive,0.7261,Elegant & Refined
Steak 48,Beverly Hills,"Steak 48, Founded by the Mastro brothers, is an upscale, contemporary fine-dining steakhouse known for USDA Prime steaks, fresh seafood, and a vibrant atmosphere.","9680 Wilshire Blvd Beverly Hills, CA 90212",(310) 388-0048,$$$$,Steakhouse,Fine-Dining,No,No,4.6,Mon-Fri 5pm-9:45 / Sat-Sun 4pm-9:45pm,Yes,Strict,"Steak 48 is a Steakhouse restaurant located in Beverly Hills, Los Angeles. Steak 48, Founded by the Mastro brothers, is an upscale, contemporary fine-dining steakhouse known for USDA Prime steaks, fresh seafood, and a vibrant atmosphere. Price range: $$$$. Atmosphere: Fine-Dining. Michelin Guide: No. Customer Rating: 4.6/5 Cuisine Group: Steakhouse. Dining Format: Full Service. Best For: Special Occasion. Vibe: Refined & Elegant Dining Mood: Elegant & Refined. Dominant Emotion: neutral. Overall Sentiment: Positive.",Steakhouse,Full Service,Special Occasion,0.4263,Refined & Elegant,0.2618,0.012,0.4099,0.0045,0.4745,0.9576,0.0377,0.0728,neutral,Positive,0.7849,Elegant & Refined
The Arthur J,Manhattan Beach,"The Arthur J is a high-end, mid-century modern steakhouse in Manhattan Beach, CA. it offers a refined yet lively atmosphere featuring a custom wood-fired grill for wet & dry-aged steaks.","903 Manhattan Ave. Manhattan Beach, CA 90266",(310) 878-9620,$$$$,Steakhouse,Fine-Dining,No,No,4.6,Mon-Wed 4pm-9:45pm / Thurs-Sat 4pm-10:45pm / Sun 10am-9:45pm,No,No,"The Arthur J is a Steakhouse restaurant located in Manhattan Beach, Los Angeles. The Arthur J is a high-end, mid-century modern steakhouse in Manhattan Beach, CA. it offers a refined yet lively atmosphere featuring a custom wood-fired grill for wet & dry-aged steaks. Price range: $$$$. Atmosphere: Fine-Dining. Michelin Guide: No. Customer Rating: 4.6/5 Cuisine Group: Steakhouse. Dining Format: Full Service. Best For: Special Occasion. Vibe: Refined & Elegant Dining Mood: Elegant & Refined. Dominant Emotion: joy. Overall Sentiment: Positive.",Steakhouse,Full Service,Special Occasion,0.3181,Refined & Elegant,0.4228,0.012,0.4099,0.0051,0.9845,0.9576,0.0377,0.0845,joy,Positive,0.7113,Elegant & Refined
The Belvedere,Beverly Hills,"Located in The Peninsula Beverly Hills Hotel, is a refined, AAA 5-Diamond & Forbes 4-star restaurant offering French-Californian cuisine, focusing on local & sustainable seafood and produce.","9882 S Santa Monica Blvd Ground Floor, Beverly Hills, CA 90212",(310) 975-2736,$$$$$,Mediterranean / French-Californian,Smart-Casual,No,No,4.5,Daily (breakfast lunch & dinner),Yes,No,"The Belvedere is a Mediterranean / French-Californian restaurant located in Beverly Hills, Los Angeles. Located in The Peninsula Beverly Hills Hotel, is a refined, AAA 5-Diamond & Forbes 4-star restaurant offering French-Californian cuisine, focusing on local & sustainable seafood and produce. Price range: $$$$$. Atmosphere: Smart-Casual. Michelin Guide: No. Customer Rating: 4.5/5 Cuisine Group: French. Dining Format: A La Carte / Casual. Best For: Special Occasion. Vibe: Refined & Elegant Dining Mood: Elegant & Refined. Dominant Emotion: neutral. Overall Sentiment: Positive.",French,A La Carte / Casual,Special Occasion,0.2291,Refined & Elegant,0.3981,0.012,0.4099,0.0084,0.4698,0.9052,0.0377,0.085,neutral,Positive,0.5016,Elegant & Refined
Elephante,Santa Monica,"A premier rooftop restaurant & lounge with stunning, direct Pacific Ocean views. This trendy, upscale spot offers a chic, bohemian aesthetic designed to feel like a beach getaway.","1332 2nd St Rooftop, Santa Monica, CA 90401",(424) 722-8647,$$$$,Italian,Trendy,Yes,Michelin-Selected,4.6,Mon-Thurs 10am-12am / Fri-Sun 9am-1am,Yes,No,"Elephante is a Italian restaurant located in Santa Monica, Los Angeles. A premier rooftop restaurant & lounge with stunning, direct Pacific Ocean views. This trendy, upscale spot offers a chic, bohemian aesthetic designed to feel like a beach getaway. Price range: $$$$. Atmosphere: Trendy. Michelin Guide: Michelin-Selected. Customer Rating: 4.6/5. Rooftop/top-floor dining Cuisine Group: Italian. Dining Format: Full Service. Best For: Special Occasion. Vibe: Hip & Trendy Dining Mood: Lively & Energetic. Dominant Emotion: neutral. Overall Sentiment: Positive.",Italian,Full Service,Special Occasion,0.497,Hip & Trendy,0.3681,0.0259,0.0264,0.0054,0.9155,0.9576,0.0103,0.0764,neutral,Positive,0.9044,Lively & Energetic
Nobu Malibu,Malibu,"Nobu Malibu is a premier, upscale oceanfront restaurant in Malibu, California, renowned for its Japanese-Peruvian fusion cuisine and stunning, panoramic views of the Pacific Ocean.","22706 Pacific Coast Hwy, Malibu, CA 90265",(310) 317-9140,$$$$$,Japanese / Peruvian,Romantic / Smart-Casual,No,No,4.3,Sun-Thurs 12pm-10pm / Fri-Sat 12pm-11pm,Yes,No,"Nobu Malibu is a Japanese / Peruvian restaurant located in Malibu, Los Angeles. Nobu Malibu is a premier, upscale oceanfront restaurant in Malibu, California, renowned for its Japanese-Peruvian fusion cuisine and stunning, panoramic views of the Pacific Ocean. Price range: $$$$$. Atmosphere: Romantic / Smart-Casual. Michelin Guide: No. Customer Rating: 4.3/5 Cuisine Group: Japanese Fusion. Dining Format: A La Carte / Casual. Best For: Special Occasion. Vibe: Cozy & Relaxed Dining Mood: Warm & Inviting. Dominant Emotion: neutral. Overall Sentiment: Positive.",Japanese Fusion,A La Carte / Casual,Special Occasion,0.3298,Cozy & Relaxed,0.3093,0.0104,0.0842,0.0098,0.7591,0.9052,0.0289,0.081,neutral,Positive,0.8943,Warm & Inviting
Nobu Los Angeles,West Hollywood,"Nobu Los Angeles, located in West Hollywood on La Cienega Boulevard, is a high-end, stylish, and intimate restaurant also known for its Japanese-Peruvian fusion cuisine.","903 N La Cienega Blvd, Los Angeles, CA 90069",(310) 657-5711,$$$$$,Japanese / Peruvian,Trendy / Smart-Casual,No,No,4.3,Sun-Thurs 5:30pm-10pm / Fri-Sat 5:30pm-11pm,Yes,No,"Nobu Los Angeles is a Japanese / Peruvian restaurant located in West Hollywood, Los Angeles. Nobu Los Angeles, located in West Hollywood on La Cienega Boulevard, is a high-end, stylish, and intimate restaurant also known for its Japanese-Peruvian fusion cuisine. Price range: $$$$$. Atmosphere: Trendy / Smart-Casual. Michelin Guide: No. Customer Rating: 4.3/5 Cuisine Group: Japanese Fusion. Dining Format: A La Carte / Casual. Best For: Special Occasion. Vibe: Intimate Dining Mood: Intimate & Personal. Dominant Emotion: neutral. Overall Sentiment: Positive.",Japanese Fusion,A La Carte / Casual,Special Occasion,0.2623,Intimate,0.3383,0.0225,0.0842,0.0162,0.6881,0.9052,0.0289,0.081,neutral,Positive,0.6237,Intimate & Personal
Yamashiro,Hollywood Hills,Yamashiro sits atop The Hollywood Hills with break-taking panoramic views of Los Angeles. The dining experience boasts Asian-inspired dishes & cocktails,"1999 N Sycamore Ave, Los Angeles, CA 90068",(323) 466-5125,$$$$,Japanese / Sushi,Romantic / Smart-Casual,Yes,No,4.3,Mon-Sat 5pm-11pm / Sun 11am-11pm,Yes,Yes,"Yamashiro is a Japanese / Sushi restaurant located in Hollywood Hills, Los Angeles. Yamashiro sits atop The Hollywood Hills with break-taking panoramic views of Los Angeles. The dining experience boasts Asian-inspired dishes & cocktails Price range: $$$$. Atmosphere: Romantic / Smart-Casual. Michelin Guide: No. Customer Rating: 4.3/5. Rooftop/top-floor dining Cuisine Group: Japanese. Dining Format: A La Carte / Casual. Best For: Casual Night Out. Vibe: Cozy & Relaxed Dining Mood: Warm & Inviting. Dominant Emotion: neutral. Overall Sentiment: Positive.",Japanese,A La Carte / Casual,Casual Night Out,0.3166,Cozy & Relaxed,0.3819,0.0132,0.0842,0.0411,0.7591,0.8706,0.0289,0.149,neutral,Positive,0.6071,Warm & Inviting
LouLou,Santa Monica,"From the exquisite open air outdoor patio, to Pacific Ocean views, LouLou offers an quintessential French & Californian dining experience served in a cosmopolitan venue with ocean & sunset views.","395 Santa Monica Pl #300, Santa Monica, CA 90401",(323) 410-2337,$$$$,French / Mediterranean,Casual,Yes,No,4.3,Mon-Wed 11:30am-11pm / Thurs-Sat 11:30am-12am / Sun 11:30am-10pm,Yes,No,"LouLou is a French / Mediterranean restaurant located in Santa Monica, Los Angeles. From the exquisite open air outdoor patio, to Pacific Ocean views, LouLou offers an quintessential French & Californian dining experience served in a cosmopolitan venue with ocean & sunset views. Price range: $$$$. Atmosphere: Casual. Michelin Guide: No. Customer Rating: 4.3/5. Rooftop/top-floor dining Cuisine Group: French. Dining Format: A La Carte / Casual. Best For: Special Occasion. Vibe: Refined & Elegant Dining Mood: Elegant & Refined. Dominant Emotion: neutral. Overall Sentiment: Positive.",French,A La Carte / Casual,Special Occasion,0.2663,Refined & Elegant,0.2892,0.012,0.4099,0.0084,0.737,0.9052,0.0377,0.0629,neutral,Positive,0.9183,Elegant & Refined
